,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
12339,5001-122/58/0/1,Paul RÃ¸stads veg 25,7039,TRONDHEIM,Selveierleilighet,39,39,44,2011,1,237.3,2022-12-14,1900000,0.0,1900000.0,2,1,2022-12-05,9,DNB Eiendom,7039,1,7,1,1
12340,984181353/67,P.A. Munchs gate 15,7030,TRONDHEIM,Borettslagsleilighet,59,61,0,1947,2,950.2,2022-12-14,3350000,343044.0,3693044.0,0,2,2022-12-01,13,Proaktiv,7030,10,3,0,0
12341,846722092/4256,AsbjÃ¸rn Ã˜verÃ¥s veg 8 H,7036,TRONDHEIM,Borettslagsleilighet,107,110,121,1972,1,25099.6,2022-12-14,4550000,100422.0,4650422.0,0,3,2022-12-06,8,Proaktiv,7036,10,3,1,1
12342,5001-177/812/0/1,Jernkisvegen 5,7089,HEIMDAL,Selveierleilighet,39,44,0,2019,1,3945.2,2022-12-14,2490000,0.0,2490000.0,2,1,2022-12-02,12,Eiendomsmegler 1,7089,3,7,1,0
12343,5001-103/748/0/0,General Bangs veg 20 A,7023,TRONDHEIM,Selveier tomannsbolig,119,162,0,1962,0,420.1,2022-12-14,3650000,0.0,3650000.0,0,3,2022-12-02,12,Eiendomsmegler 1,7023,3,6,1,0
12344,5001-405/8/0/9,Snorres gate 11,7030,TRONDHEIM,Selveierleilighet,82,82,89,1913,3,384.0,2022-12-14,4200000,0.0,4200000.0,0,2,2022-12-02,12,Heimdal Eiendomsmegling,7030,4,7,0,0
12345,5001-410/104/0/5,GyldenlÃ¸ves gate 25 A,7043,TRONDHEIM,Selveierleilighet,50,50,0,1900,2,712.6,2022-12-15,3225000,0.0,3225000.0,0,2,2022-12-15,0,Other,7043,8,7,1,0
12346,846722092/2129,Nordre Risvolltun 15 C,7036,TRONDHEIM,Borettslagsleilighet,52,55,0,1972,2,142812.4,2022-12-15,2600000,66063.0,2666063.0,0,1,2022-12-08,7,Proaktiv,7036,10,3,1,1
12347,5001-103/1670/0/24,Drivhusvegen 3,7024,TRONDHEIM,Selveierleilighet,68,72,0,2017,4,5527.9,2022-12-15,4250000,0.0,4250000.0,3,2,2022-11-04,41,Krogsveen,7024,5,7,1,0
12348,951459410/7,Nedre MÃ¸llenberg gate 72 B,7043,TRONDHEIM,Borettslagsleilighet,49,49,54,1890,1,570.7,2022-12-15,2790000,260590.0,3050590.0,2,2,2022-10-07,69,Lokalmegleren,7043,6,3,0,0
12349,5001-52/224/0/31,Heggdalsringen 61,7049,TRONDHEIM,Selveierleilighet,69,71,0,2018,1,4572.6,2022-12-15,4350000,0.0,4350000.0,3,2,2022-12-15,0,Other,7049,8,7,1,0
12350,5001-177/818/0/52,Andersbakkan 91,7089,HEIMDAL,Selveierleilighet,0,62,0,2022,4,3716.4,2022-12-15,2990000,0.0,2990000.0,4,0,2022-12-15,0,Other,7089,8,7,0,0
12351,5001-177/818/0/49,Andersbakkan 91,7089,HEIMDAL,Selveierleilighet,0,62,0,2022,4,3716.4,2022-12-15,2990000,0.0,2990000.0,4,0,2022-12-15,0,Other,7089,8,7,0,0
12352,5001-49/316/0/33,Bonesvegen 35 E,7047,TRONDHEIM,Selveier rekkehus,0,159,0,2022,0,0.0,2022-12-15,6345000,0.0,6345000.0,5,0,2022-12-15,0,Other,7047,8,5,0,0
12353,5001-415/265/0/192,Ladeveien 20,7066,TRONDHEIM,Selveierleilighet,50,54,0,2020,3,2828.9,2022-12-15,3650000,0.0,3650000.0,3,2,2022-12-15,0,Other,7066,8,7,0,0
12354,5001-415/233/0/31,StjÃ¸rdalsveien 19,7066,TRONDHEIM,Selveierleilighet,104,104,0,2017,6,890.7,2022-12-15,9250000,0.0,9250000.0,3,3,2022-10-28,48,Eiendomsmegler 1,7066,3,7,1,0
12355,5001-323/1474/0/0,Torvtaket 64,7092,TILLER,Selveier enebolig,223,250,0,1986,0,393.1,2022-12-15,6500000,0.0,6500000.0,4,3,2022-12-02,13,Heimdal Eiendomsmegling,7092,4,4,0,0
12356,979845952/39,Nedre Ila 27,7018,TRONDHEIM,Borettslagsleilighet,54,58,64,1998,2,0.0,2022-12-15,790000,0.0,790000.0,2,1,2022-12-15,0,Other,7018,8,3,0,0
12357,5001-316/723/0/74,Industriveien 1 F,7072,HEIMDAL,Selveierleilighet,60,63,0,2020,2,2017.8,2022-12-15,3410000,0.0,3410000.0,3,2,2022-12-15,0,Other,7072,8,7,0,0
12358,5001-21/853/0/0,Eikvegen 4 B,7058,CHARLOTTENLUND,Selveier enebolig,96,0,115,1968,0,154.9,2022-12-16,4200000,0.0,4200000.0,0,3,2022-12-16,0,Other,7058,8,4,0,0
12359,948720175/31,Selsbakkvegen 38 D,7027,TRONDHEIM,Borettslagsleilighet,51,51,56,1965,4,57102.2,2022-12-16,2250000,117159.0,2367159.0,2,1,2022-12-09,7,Privatmegleren,7027,9,3,0,0
12360,948722763/259,Brundalen 27,7058,CHARLOTTENLUND,Borettslagsleilighet,97,109,115,1970,3,80659.7,2022-12-16,3710000,709385.0,4419385.0,4,3,2022-12-10,6,Privatmegleren,7058,9,3,0,0
